id;category;name
1;appetiser;Croquetes de pernil ibèric
2;appetiser;Gaspatxo andalús
3;appetiser;Braves ProvenSoft

4;firstcourse;Risotto de bolets
5;firstcourse;Canelons de rostit
6;firstcourse;Lasanya de verdures

7;maincourse;Entrecot de vedella a la brasa
8;maincourse;Pollastre al curri amb arròs basmati
9;maincourse;Bacallà al pil-pil

10;dessert;Coulant de xocolata
11;dessert;Crema catalana
12;dessert;Pastís de formatge amb fruits vermells

13;drink;Aigua mineral
14;drink;Vi negre de la casa (copa)
15;drink;Cafè o tallat
